#1;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#2;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#3;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#4;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C)
 ;00:00:00;3.288;0.001;0.0;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:01;3.293;0.035;0.0;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:02;3.325;0.130;0.0;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:03;3.366;0.287;0.1;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:04;3.421;0.501;0.2;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:05;3.494;0.768;0.5;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:06;3.549;1.006;0.8;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:07;3.580;1.107;1.1;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:08;3.605;1.186;1.4;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:09;3.633;1.266;1.8;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:10;3.658;1.349;2.1;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:11;3.685;1.434;2.5;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:12;3.711;1.518;3.0;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:13;3.738;1.609;3.4;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:14;3.766;1.697;3.9;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:15;3.794;1.789;4.4;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:16;3.823;1.882;4.9;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:17;3.852;1.978;5.5;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:18;3.884;2.085;6.1;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:19;3.910;2.172;6.7;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:20;3.947;2.280;7.3;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:21;3.976;2.363;8.0;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:22;4.013;2.480;8.7;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:23;4.040;2.566;9.4;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:24;4.085;2.691;10.1;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:25;4.150;2.901;10.9;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:26;4.180;2.986;11.8;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:27;4.190;2.998;12.6;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:28;4.195;2.997;13.4;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:29;4.198;2.989;14.3;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:30;4.199;2.972;15.1;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:31;4.199;2.957;15.9;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:32;4.199;2.943;16.7;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:33;4.199;2.932;17.5;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:34;4.199;2.919;18.4;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:35;4.199;2.911;19.2;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:36;4.199;2.902;20.0;32.2;;;;;;;;;;;;;;;;;;
 ;00:00:37;4.199;2.890;20.8;32.2;;;;;;;;;;;;;;;;;;
 ;00:00:38;4.199;2.882;21.6;32.2;;;;;;;;;;;;;;;;;;
 ;00:00:39;4.200;2.876;22.4;32.2;;;;;;;;;;;;;;;;;;
 ;00:00:40;4.199;2.867;23.2;32.2;;;;;;;;;;;;;;;;;;
 ;00:00:41;4.199;2.859;24.0;32.2;;;;;;;;;;;;;;;;;;
 ;00:00:42;4.199;2.852;24.8;32.2;;;;;;;;;;;;;;;;;;
 ;00:00:43;4.200;2.846;25.5;32.2;;;;;;;;;;;;;;;;;;
 ;00:00:44;4.199;2.836;26.3;32.3;;;;;;;;;;;;;;;;;;
 ;00:00:45;4.199;2.831;27.1;32.3;;;;;;;;;;;;;;;;;;
 ;00:00:46;4.199;2.827;27.9;32.3;;;;;;;;;;;;;;;;;;
 ;00:00:47;4.200;2.820;28.7;32.3;;;;;;;;;;;;;;;;;;
 ;00:00:48;4.199;2.815;29.5;32.4;;;;;;;;;;;;;;;;;;
 ;00:00:49;4.199;2.808;30.2;32.4;;;;;;;;;;;;;;;;;;
 ;00:00:50;4.199;2.804;31.0;32.4;;;;;;;;;;;;;;;;;;
 ;00:00:51;4.199;2.801;31.8;32.4;;;;;;;;;;;;;;;;;;
 ;00:00:52;4.200;2.795;32.6;32.4;;;;;;;;;;;;;;;;;;
 ;00:00:53;4.200;2.791;33.4;32.5;;;;;;;;;;;;;;;;;;
 ;00:00:54;4.199;2.786;34.1;32.5;;;;;;;;;;;;;;;;;;
 ;00:00:55;4.198;2.779;34.9;32.5;;;;;;;;;;;;;;;;;;
 ;00:00:56;4.199;2.778;35.7;32.5;;;;;;;;;;;;;;;;;;
 ;00:00:57;4.199;2.774;36.4;32.5;;;;;;;;;;;;;;;;;;
 ;00:00:58;4.200;2.771;37.2;32.6;;;;;;;;;;;;;;;;;;
 ;00:00:59;4.200;2.766;38.0;32.6;;;;;;;;;;;;;;;;;;
 ;00:01:00;4.200;2.764;38.8;32.6;;;;;;;;;;;;;;;;;;
 ;00:01:01;4.199;2.759;39.5;32.6;;;;;;;;;;;;;;;;;;
 ;00:01:02;4.199;2.753;40.3;32.6;;;;;;;;;;;;;;;;;;
 ;00:01:03;4.199;2.751;41.0;32.7;;;;;;;;;;;;;;;;;;
 ;00:01:04;4.199;2.749;41.8;32.7;;;;;;;;;;;;;;;;;;
 ;00:01:05;4.200;2.744;42.6;32.7;;;;;;;;;;;;;;;;;;
 ;00:01:06;4.198;2.737;43.3;32.7;;;;;;;;;;;;;;;;;;
